#,topic,tentative_subtema,knowledge_class,relative_path,doc_id
1,activos_exterior,,interpretative_guidance,to upload/AGGRANDIZEMENT-ABRIL-2026/ACTIVOS_EXTERIOR_F160/EXPERTOS/AEX-E01-activos-exterior-interpretaciones-PYME.md,to_upload_AGGRANDIZEMENT-ABRIL-2026_ACTIVOS_EXTERIOR_F160_EXPERTOS_AEX-E01-activos-exterior-interpretaciones-PYME.md
2,activos_exterior,,practica_erp,to upload/AGGRANDIZEMENT-ABRIL-2026/ACTIVOS_EXTERIOR_F160/LOGGRO/AEX-L01-guia-practica-declaracion-activos-exterior-F160-PYME.md,to_upload_AGGRANDIZEMENT-ABRIL-2026_ACTIVOS_EXTERIOR_F160_LOGGRO_AEX-L01-guia-practica-declaracion-activos-exterior-F160-PYME.md
3,comercial_societario,,normative_base,CORE ya Arriba/COMERCIAL_SOCIETARIO/Ley-223-1994.md,CORE_ya_Arriba_COMERCIAL_SOCIETARIO_Ley-223-1994.md
4,comercial_societario,,normative_base,CORE ya Arriba/LEYES/COMERCIAL_SOCIETARIO/consolidado/Ley-1480-2011.md,CORE_ya_Arriba_LEYES_COMERCIAL_SOCIETARIO_consolidado_Ley-1480-2011.md
5,comercial_societario,,normative_base,CORE ya Arriba/LEYES/COMERCIAL_SOCIETARIO/consolidado/Ley-2069-2020.md,CORE_ya_Arriba_LEYES_COMERCIAL_SOCIETARIO_consolidado_Ley-2069-2020.md
6,comercial_societario,,normative_base,CORE ya Arriba/LEYES/COMERCIAL_SOCIETARIO/consolidado/Ley-590-2000.md,CORE_ya_Arriba_LEYES_COMERCIAL_SOCIETARIO_consolidado_Ley-590-2000.md
7,comercial_societario,,normative_base,CORE ya Arriba/LEYES/COMERCIAL_SOCIETARIO/EXPERTOS/EXPERTOS_Ley-1480-2011.md,CORE_ya_Arriba_LEYES_COMERCIAL_SOCIETARIO_EXPERTOS_EXPERTOS_Ley-1480-2011.md
8,comercial_societario,,normative_base,CORE ya Arriba/LEYES/COMERCIAL_SOCIETARIO/EXPERTOS/EXPERTOS_Ley-2069-2020.md,CORE_ya_Arriba_LEYES_COMERCIAL_SOCIETARIO_EXPERTOS_EXPERTOS_Ley-2069-2020.md
9,comercial_societario,,normative_base,CORE ya Arriba/LEYES/COMERCIAL_SOCIETARIO/EXPERTOS/EXPERTOS_Ley-590-2000.md,CORE_ya_Arriba_LEYES_COMERCIAL_SOCIETARIO_EXPERTOS_EXPERTOS_Ley-590-2000.md
10,comercial_societario,,normative_base,CORE ya Arriba/LEYES/COMERCIAL_SOCIETARIO/EXPERTOS/EXPERTOS_Ley-905-2004.md,CORE_ya_Arriba_LEYES_COMERCIAL_SOCIETARIO_EXPERTOS_EXPERTOS_Ley-905-2004.md
11,comercial_societario,,normative_base,CORE ya Arriba/LEYES/COMERCIAL_SOCIETARIO/LOGGRO/PRACTICA_Ley-1151-2007.md,CORE_ya_Arriba_LEYES_COMERCIAL_SOCIETARIO_LOGGRO_PRACTICA_Ley-1151-2007.md
12,comercial_societario,,normative_base,CORE ya Arriba/LEYES/COMERCIAL_SOCIETARIO/LOGGRO/PRACTICA_Ley-1480-2011.md,CORE_ya_Arriba_LEYES_COMERCIAL_SOCIETARIO_LOGGRO_PRACTICA_Ley-1480-2011.md
13,comercial_societario,,normative_base,CORE ya Arriba/LEYES/COMERCIAL_SOCIETARIO/LOGGRO/PRACTICA_Ley-2069-2020.md,CORE_ya_Arriba_LEYES_COMERCIAL_SOCIETARIO_LOGGRO_PRACTICA_Ley-2069-2020.md
14,comercial_societario,,normative_base,CORE ya Arriba/LEYES/COMERCIAL_SOCIETARIO/LOGGRO/PRACTICA_Ley-905-2004.md,CORE_ya_Arriba_LEYES_COMERCIAL_SOCIETARIO_LOGGRO_PRACTICA_Ley-905-2004.md
15,comercial_societario,,normative_base,CORE ya Arriba/LEYES/COMERCIAL_SOCIETARIO/NORMATIVA/Ley-1480-2011.md,CORE_ya_Arriba_LEYES_COMERCIAL_SOCIETARIO_NORMATIVA_Ley-1480-2011.md
16,comercial_societario,,normative_base,CORE ya Arriba/LEYES/COMERCIAL_SOCIETARIO/NORMATIVA/Ley-2069-2020.md,CORE_ya_Arriba_LEYES_COMERCIAL_SOCIETARIO_NORMATIVA_Ley-2069-2020.md
17,datos_tecnologia,,normative_base,CORE ya Arriba/LEYES/DATOS_TECNOLOGIA/LOGGRO/PRACTICA_Ley-1221-2008.md,CORE_ya_Arriba_LEYES_DATOS_TECNOLOGIA_LOGGRO_PRACTICA_Ley-1221-2008.md
18,datos_tecnologia,,normative_base,CORE ya Arriba/LEYES/DATOS_TECNOLOGIA/LOGGRO/PRACTICA_Ley-1341-2009.md,CORE_ya_Arriba_LEYES_DATOS_TECNOLOGIA_LOGGRO_PRACTICA_Ley-1341-2009.md
19,datos_tecnologia,,normative_base,CORE ya Arriba/LEYES/DATOS_TECNOLOGIA/NORMATIVA/Ley-1221-2008.md,CORE_ya_Arriba_LEYES_DATOS_TECNOLOGIA_NORMATIVA_Ley-1221-2008.md
20,datos_tecnologia,,normative_base,CORE ya Arriba/LOGGRO_LEYES/DT-1221-2008-LOGGRO.md,CORE_ya_Arriba_LOGGRO_LEYES_DT-1221-2008-LOGGRO.md
21,datos_tecnologia,,normative_base,CORE ya Arriba/LOGGRO_LEYES/DT-1341-2009-LOGGRO.md,CORE_ya_Arriba_LOGGRO_LEYES_DT-1341-2009-LOGGRO.md
22,datos_tecnologia,,practica_erp,CORE ya Arriba/RENTA/LOGGRO/seccion-28-casos-practicos.md,CORE_ya_Arriba_RENTA_LOGGRO_seccion-28-casos-practicos.md
23,declaracion_renta,,practica_erp,CORE ya Arriba/RENTA/LOGGRO/seccion-07-formularios-y-plataforma-dian.md,CORE_ya_Arriba_RENTA_LOGGRO_seccion-07-formularios-y-plataforma-dian.md
24,declaracion_renta,,practica_erp,CORE ya Arriba/RENTA/LOGGRO/seccion-09-costos-y-deducciones.md,CORE_ya_Arriba_RENTA_LOGGRO_seccion-09-costos-y-deducciones.md
25,declaracion_renta,,practica_erp,CORE ya Arriba/RENTA/LOGGRO/seccion-10-patrimonio-fiscal.md,CORE_ya_Arriba_RENTA_LOGGRO_seccion-10-patrimonio-fiscal.md
26,declaracion_renta,,practica_erp,CORE ya Arriba/RENTA/LOGGRO/seccion-11-conciliacion-fiscal.md,CORE_ya_Arriba_RENTA_LOGGRO_seccion-11-conciliacion-fiscal.md
27,declaracion_renta,,practica_erp,CORE ya Arriba/RENTA/LOGGRO/seccion-13-tarifas-del-impuesto.md,CORE_ya_Arriba_RENTA_LOGGRO_seccion-13-tarifas-del-impuesto.md
28,declaracion_renta,,practica_erp,CORE ya Arriba/RENTA/LOGGRO/seccion-15-descuentos-tributarios.md,CORE_ya_Arriba_RENTA_LOGGRO_seccion-15-descuentos-tributarios.md
29,declaracion_renta,,practica_erp,CORE ya Arriba/RENTA/LOGGRO/seccion-16-anticipo-del-impuesto-de-renta.md,CORE_ya_Arriba_RENTA_LOGGRO_seccion-16-anticipo-del-impuesto-de-renta.md
30,declaracion_renta,,practica_erp,CORE ya Arriba/RENTA/LOGGRO/seccion-17-ganancia-ocasional.md,CORE_ya_Arriba_RENTA_LOGGRO_seccion-17-ganancia-ocasional.md
31,declaracion_renta,,practica_erp,CORE ya Arriba/RENTA/LOGGRO/seccion-18-beneficio-de-auditoria.md,CORE_ya_Arriba_RENTA_LOGGRO_seccion-18-beneficio-de-auditoria.md
32,declaracion_renta,,practica_erp,CORE ya Arriba/RENTA/LOGGRO/seccion-24-planeacion-tributaria-pymes-estrategias-legitimas.md,CORE_ya_Arriba_RENTA_LOGGRO_seccion-24-planeacion-tributaria-pymes-estrategias-legitimas.md
33,declaracion_renta,,practica_erp,CORE ya Arriba/RENTA/LOGGRO/seccion-26-fiscalizacion-y-defensa-ante-la-dian.md,CORE_ya_Arriba_RENTA_LOGGRO_seccion-26-fiscalizacion-y-defensa-ante-la-dian.md
34,declaracion_renta,,practica_erp,CORE ya Arriba/RENTA/LOGGRO/seccion-27-checklists-operativos-para-el-contador.md,CORE_ya_Arriba_RENTA_LOGGRO_seccion-27-checklists-operativos-para-el-contador.md
35,declaracion_renta,,interpretative_guidance,CORE ya Arriba/ZOMAC_INCENTIVOS/EXPERTOS/E01-ZOMAC-incentivos-interpretaciones-expertos.md,CORE_ya_Arriba_ZOMAC_INCENTIVOS_EXPERTOS_E01-ZOMAC-incentivos-interpretaciones-expertos.md
36,declaracion_renta,,normative_base,CORE ya Arriba/ZOMAC_INCENTIVOS/NORMATIVA/N01-ZOMAC-incentivos-regionales-marco-legal.md,CORE_ya_Arriba_ZOMAC_INCENTIVOS_NORMATIVA_N01-ZOMAC-incentivos-regionales-marco-legal.md
37,declaracion_renta,,unknown,form_guides/formulario_210/pn_residente/assets/page_02.svg,form_guides_formulario_210_pn_residente_assets_page_02.svg
38,declaracion_renta,,normative_base,form_guides/formulario_210/pn_residente/interactive_map.json,form_guides_formulario_210_pn_residente_interactive_map.json
39,declaracion_renta,,normative_base,form_guides/formulario_210/pn_residente/structured_guide.json,form_guides_formulario_210_pn_residente_structured_guide.json
40,declaracion_renta,,unknown,form_guides/formulario_2516/pj_obligados_contabilidad/assets/page_02.svg,form_guides_formulario_2516_pj_obligados_contabilidad_assets_page_02.svg
41,declaracion_renta,,unknown,form_guides/formulario_2516/pj_obligados_contabilidad/assets/page_06.svg,form_guides_formulario_2516_pj_obligados_contabilidad_assets_page_06.svg
42,declaracion_renta,,normative_base,form_guides/formulario_2516/pj_obligados_contabilidad/guide_manifest.json,form_guides_formulario_2516_pj_obligados_contabilidad_guide_manifest.json
43,declaracion_renta,,unknown,form_guides/formulario_2517/pn_residente/interactive_map.json,form_guides_formulario_2517_pn_residente_interactive_map.json
44,declaracion_renta,,normative_base,form_guides/formulario_2517/pn_residente/sources.json,form_guides_formulario_2517_pn_residente_sources.json
45,declaracion_renta,,practica_erp,to upload/AGGRANDIZEMENT-ABRIL-2026/DONACIONES_DESCUENTOS/LOGGRO/DON-L01-guia-practica-donaciones-PYME-descuento-tributario.md,to_upload_AGGRANDIZEMENT-ABRIL-2026_DONACIONES_DESCUENTOS_LOGGRO_DON-L01-guia-practica-donaciones-PYME-descuento-tributario.md
46,emergencia_tributaria,,interpretative_guidance,CORE ya Arriba/Documents to branch and improve/Emergencia_Tributaria_Decreto_0240/Interpretacion_Expertos/eme_expertos_decreto_0240.md,CORE_ya_Arriba_Documents_to_branch_and_improve_Emergencia_Tributaria_Decreto_0240_Interpretacion_Expertos_eme_expertos_decreto_0240.md
47,emergencia_tributaria,,normative_base,CORE ya Arriba/Documents to branch and improve/Emergencia_Tributaria_Decreto_0240/Normativa_Base/eme_normativa_decreto_0240.md,CORE_ya_Arriba_Documents_to_branch_and_improve_Emergencia_Tributaria_Decreto_0240_Normativa_Base_eme_normativa_decreto_0240.md
48,emergencia_tributaria,,practica_erp,CORE ya Arriba/Documents to branch and improve/Emergencia_Tributaria_Decreto_0240/Practica_LOGGRO/eme_practica_decreto_0240.md,CORE_ya_Arriba_Documents_to_branch_and_improve_Emergencia_Tributaria_Decreto_0240_Practica_LOGGRO_eme_practica_decreto_0240.md
49,emergencia_tributaria,,normative_base,CORE ya Arriba/EMERGENCIA_TRIBUTARIA_2026/NORMATIVA/EME-A01-addendum-estado-actual-decretos-1474-240-2026.md,CORE_ya_Arriba_EMERGENCIA_TRIBUTARIA_2026_NORMATIVA_EME-A01-addendum-estado-actual-decretos-1474-240-2026.md
50,emergencia_tributaria,,interpretative_guidance,CORE ya Arriba/NUEVOS-DATOS-BRECHAS-MARZO-2026/01-DECRETO-0240-EMERGENCIA-TRIBUTARIA/INTERPRETACION/T-D0240-decreto-0240-interpretaciones-expertos.md,CORE_ya_Arriba_NUEVOS-DATOS-BRECHAS-MARZO-2026_01-DECRETO-0240-EMERGENCIA-TRIBUTARIA_INTERPRETACION_T-D0240-decreto-0240-interpretaciones-expertos.md
51,emergencia_tributaria,,normative_base,CORE ya Arriba/NUEVOS-DATOS-BRECHAS-MARZO-2026/01-DECRETO-0240-EMERGENCIA-TRIBUTARIA/NORMATIVA/N-D0240-decreto-0240-emergencia-tributaria.md,CORE_ya_Arriba_NUEVOS-DATOS-BRECHAS-MARZO-2026_01-DECRETO-0240-EMERGENCIA-TRIBUTARIA_NORMATIVA_N-D0240-decreto-0240-emergencia-tributaria.md
52,emergencia_tributaria,,practica_erp,CORE ya Arriba/NUEVOS-DATOS-BRECHAS-MARZO-2026/01-DECRETO-0240-EMERGENCIA-TRIBUTARIA/PRACTICA/L-D0240-decreto-0240-guia-practica.md,CORE_ya_Arriba_NUEVOS-DATOS-BRECHAS-MARZO-2026_01-DECRETO-0240-EMERGENCIA-TRIBUTARIA_PRACTICA_L-D0240-decreto-0240-guia-practica.md
53,emergencia_tributaria,,interpretative_guidance,CORE ya Arriba/NUEVOS-DATOS-BRECHAS-MARZO-2026/02-MAPA-EMERGENCIA-CONSOLIDADO/INTERPRETACION/T-EME-CONSOLIDADO-emergencia-interpretaciones-expertos.md,CORE_ya_Arriba_NUEVOS-DATOS-BRECHAS-MARZO-2026_02-MAPA-EMERGENCIA-CONSOLIDADO_INTERPRETACION_T-EME-CONSOLIDADO-emergencia-interpretaciones-expertos.md
54,emergencia_tributaria,,normative_base,CORE ya Arriba/NUEVOS-DATOS-BRECHAS-MARZO-2026/02-MAPA-EMERGENCIA-CONSOLIDADO/NORMATIVA/N-EME-CONSOLIDADO-mapa-emergencia-2025-2026.md,CORE_ya_Arriba_NUEVOS-DATOS-BRECHAS-MARZO-2026_02-MAPA-EMERGENCIA-CONSOLIDADO_NORMATIVA_N-EME-CONSOLIDADO-mapa-emergencia-2025-2026.md
55,emergencia_tributaria,,practica_erp,CORE ya Arriba/NUEVOS-DATOS-BRECHAS-MARZO-2026/02-MAPA-EMERGENCIA-CONSOLIDADO/PRACTICA/L-EME-CONSOLIDADO-emergencia-guia-practica.md,CORE_ya_Arriba_NUEVOS-DATOS-BRECHAS-MARZO-2026_02-MAPA-EMERGENCIA-CONSOLIDADO_PRACTICA_L-EME-CONSOLIDADO-emergencia-guia-practica.md
56,emergencia_tributaria,,interpretative_guidance,CORE ya Arriba/RENTA/EXPERTOS/T03-decreto-1474-emergencia-economica-interpretaciones.md,CORE_ya_Arriba_RENTA_EXPERTOS_T03-decreto-1474-emergencia-economica-interpretaciones.md
57,emergencia_tributaria,,practica_erp,CORE ya Arriba/RENTA/LOGGRO/seccion-21-medidas-transitorias-decreto-1474-emergencia-economica.md,CORE_ya_Arriba_RENTA_LOGGRO_seccion-21-medidas-transitorias-decreto-1474-emergencia-economica.md
58,estados_financieros_niif,,practica_erp,CORE ya Arriba/DESCUENTOS_INVENTARIOS_NIIF/LOGGRO/seccion-09-A-descuentos-pronto-pago-compras.md,CORE_ya_Arriba_DESCUENTOS_INVENTARIOS_NIIF_LOGGRO_seccion-09-A-descuentos-pronto-pago-compras.md
59,estados_financieros_niif,,normative_base,CORE ya Arriba/LEYES/NIIF_CONTABLE/consolidado/Ley-1530-2012.md,CORE_ya_Arriba_LEYES_NIIF_CONTABLE_consolidado_Ley-1530-2012.md
60,estados_financieros_niif,,normative_base,CORE ya Arriba/LEYES/NIIF_CONTABLE/EXPERTOS/EXPERTOS_Ley-1530-2012.md,CORE_ya_Arriba_LEYES_NIIF_CONTABLE_EXPERTOS_EXPERTOS_Ley-1530-2012.md
61,estados_financieros_niif,,normative_base,CORE ya Arriba/LEYES/NIIF_CONTABLE/NORMATIVA/Ley-1530-2012.md,CORE_ya_Arriba_LEYES_NIIF_CONTABLE_NORMATIVA_Ley-1530-2012.md
62,estados_financieros_niif,,practica_erp,CORE ya Arriba/LOGGRO_LEYES/NC-1530-2012-LOGGRO.md,CORE_ya_Arriba_LOGGRO_LEYES_NC-1530-2012-LOGGRO.md
63,gravamen_movimiento_financiero_4x1000,,normative_base,CORE ya Arriba/GMF_4X1000/NORMATIVA/GMF-N01-marco-legal-GMF-cuentas-exentas-art-879-ET.md,CORE_ya_Arriba_GMF_4X1000_NORMATIVA_GMF-N01-marco-legal-GMF-cuentas-exentas-art-879-ET.md
64,ica,,practica_erp,CORE ya Arriba/IMPUESTO_PATRIMONIO_PN/LOGGRO/PAT-L01-guia-practica-declaracion-patrimonio-PN-2026.md,CORE_ya_Arriba_IMPUESTO_PATRIMONIO_PN_LOGGRO_PAT-L01-guia-practica-declaracion-patrimonio-PN-2026.md
65,ica,,normative_base,CORE ya Arriba/LEYES/NIIF_CONTABLE/LOGGRO/PRACTICA_Ley-1530-2012.md,CORE_ya_Arriba_LEYES_NIIF_CONTABLE_LOGGRO_PRACTICA_Ley-1530-2012.md
66,ica,,practica_erp,CORE ya Arriba/RENTA/LOGGRO/seccion-08-clasificacion-y-depuracion-de-ingresos.md,CORE_ya_Arriba_RENTA_LOGGRO_seccion-08-clasificacion-y-depuracion-de-ingresos.md
67,ica,,practica_erp,CORE ya Arriba/RENTA/LOGGRO/seccion-19-facturacion-electronica-documento-soporte-nomina-electronica.md,CORE_ya_Arriba_RENTA_LOGGRO_seccion-19-facturacion-electronica-documento-soporte-nomina-electronica.md
68,ica,,practica_erp,to upload/AGGRANDIZEMENT-ABRIL-2026/DEPRECIACION_FISCAL/LOGGRO/DEP-L01-guia-practica-depreciacion-fiscal-PYME.md,to_upload_AGGRANDIZEMENT-ABRIL-2026_DEPRECIACION_FISCAL_LOGGRO_DEP-L01-guia-practica-depreciacion-fiscal-PYME.md
69,ica,,practica_erp,to upload/AGGRANDIZEMENT-ABRIL-2026/PROCEDIMIENTO_RECURSO_EXOGENA/LOGGRO/PRO-L01-guia-practica-recurso-sancion-no-presentar-exogena.md,to_upload_AGGRANDIZEMENT-ABRIL-2026_PROCEDIMIENTO_RECURSO_EXOGENA_LOGGRO_PRO-L01-guia-practica-recurso-sancion-no-presentar-exogena.md
70,impuesto_patrimonio_personas_naturales,,interpretative_guidance,CORE ya Arriba/IMPUESTO_PATRIMONIO_PN/EXPERTOS/PAT-E01-interpretaciones-umbral-base-gravable-socios-PYME.md,CORE_ya_Arriba_IMPUESTO_PATRIMONIO_PN_EXPERTOS_PAT-E01-interpretaciones-umbral-base-gravable-socios-PYME.md
71,impuesto_patrimonio_personas_naturales,,normative_base,CORE ya Arriba/IMPUESTO_PATRIMONIO_PN/NORMATIVA/PAT-N01-marco-legal-impuesto-patrimonio-PN-arts-292-298-ET.md,CORE_ya_Arriba_IMPUESTO_PATRIMONIO_PN_NORMATIVA_PAT-N01-marco-legal-impuesto-patrimonio-PN-arts-292-298-ET.md
72,impuestos_saludables,,interpretative_guidance,CORE ya Arriba/NUEVOS-DATOS-BRECHAS-MARZO-2026/11-IMPUESTOS-SALUDABLES-IBUA-ICUI/INTERPRETACION/T-IBUA-impuestos-saludables-interpretaciones.md,CORE_ya_Arriba_NUEVOS-DATOS-BRECHAS-MARZO-2026_11-IMPUESTOS-SALUDABLES-IBUA-ICUI_INTERPRETACION_T-IBUA-impuestos-saludables-interpretaciones.md
73,informacion_exogena,,interpretative_guidance,to upload/AGGRANDIZEMENT-ABRIL-2026/PROCEDIMIENTO_RECURSO_EXOGENA/EXPERTOS/PRO-E01-recurso-sancion-exogena-interpretaciones.md,to_upload_AGGRANDIZEMENT-ABRIL-2026_PROCEDIMIENTO_RECURSO_EXOGENA_EXPERTOS_PRO-E01-recurso-sancion-exogena-interpretaciones.md
74,informacion_exogena,,normative_base,to upload/AGGRANDIZEMENT-ABRIL-2026/PROCEDIMIENTO_RECURSO_EXOGENA/NORMATIVA/PRO-N01-recurso-sancion-exogena-art-651-ET.md,to_upload_AGGRANDIZEMENT-ABRIL-2026_PROCEDIMIENTO_RECURSO_EXOGENA_NORMATIVA_PRO-N01-recurso-sancion-exogena-art-651-ET.md
75,inversiones_incentivos,,normative_base,CORE ya Arriba/LEYES/INVERSIONES_INCENTIVOS/consolidado/Ley-2099-2021.md,CORE_ya_Arriba_LEYES_INVERSIONES_INCENTIVOS_consolidado_Ley-2099-2021.md
76,inversiones_incentivos,,normative_base,CORE ya Arriba/LEYES/INVERSIONES_INCENTIVOS/consolidado/Ley-218-1995.md,CORE_ya_Arriba_LEYES_INVERSIONES_INCENTIVOS_consolidado_Ley-218-1995.md
77,inversiones_incentivos,,normative_base,CORE ya Arriba/LEYES/INVERSIONES_INCENTIVOS/EXPERTOS/EXPERTOS_Ley-1429-2010.md,CORE_ya_Arriba_LEYES_INVERSIONES_INCENTIVOS_EXPERTOS_EXPERTOS_Ley-1429-2010.md
78,inversiones_incentivos,,normative_base,CORE ya Arriba/LEYES/INVERSIONES_INCENTIVOS/EXPERTOS/EXPERTOS_Ley-1715-2014.md,CORE_ya_Arriba_LEYES_INVERSIONES_INCENTIVOS_EXPERTOS_EXPERTOS_Ley-1715-2014.md
79,inversiones_incentivos,,normative_base,CORE ya Arriba/LEYES/INVERSIONES_INCENTIVOS/EXPERTOS/EXPERTOS_Ley-2099-2021.md,CORE_ya_Arriba_LEYES_INVERSIONES_INCENTIVOS_EXPERTOS_EXPERTOS_Ley-2099-2021.md
80,inversiones_incentivos,,normative_base,CORE ya Arriba/LEYES/INVERSIONES_INCENTIVOS/EXPERTOS/EXPERTOS_Ley-218-1995.md,CORE_ya_Arriba_LEYES_INVERSIONES_INCENTIVOS_EXPERTOS_EXPERTOS_Ley-218-1995.md
81,inversiones_incentivos,,normative_base,CORE ya Arriba/LEYES/INVERSIONES_INCENTIVOS/LOGGRO/PRACTICA_Ley-1429-2010.md,CORE_ya_Arriba_LEYES_INVERSIONES_INCENTIVOS_LOGGRO_PRACTICA_Ley-1429-2010.md
82,inversiones_incentivos,,normative_base,CORE ya Arriba/LEYES/INVERSIONES_INCENTIVOS/LOGGRO/PRACTICA_Ley-1715-2014.md,CORE_ya_Arriba_LEYES_INVERSIONES_INCENTIVOS_LOGGRO_PRACTICA_Ley-1715-2014.md
83,inversiones_incentivos,,normative_base,CORE ya Arriba/LEYES/INVERSIONES_INCENTIVOS/LOGGRO/PRACTICA_Ley-2099-2021.md,CORE_ya_Arriba_LEYES_INVERSIONES_INCENTIVOS_LOGGRO_PRACTICA_Ley-2099-2021.md
84,inversiones_incentivos,,normative_base,CORE ya Arriba/LEYES/INVERSIONES_INCENTIVOS/LOGGRO/PRACTICA_Ley-218-1995.md,CORE_ya_Arriba_LEYES_INVERSIONES_INCENTIVOS_LOGGRO_PRACTICA_Ley-218-1995.md
85,inversiones_incentivos,,normative_base,CORE ya Arriba/LEYES/INVERSIONES_INCENTIVOS/NORMATIVA/Ley-1429-2010.md,CORE_ya_Arriba_LEYES_INVERSIONES_INCENTIVOS_NORMATIVA_Ley-1429-2010.md
86,inversiones_incentivos,,normative_base,CORE ya Arriba/LEYES/INVERSIONES_INCENTIVOS/NORMATIVA/Ley-1715-2014.md,CORE_ya_Arriba_LEYES_INVERSIONES_INCENTIVOS_NORMATIVA_Ley-1715-2014.md
87,inversiones_incentivos,,normative_base,CORE ya Arriba/LEYES/INVERSIONES_INCENTIVOS/NORMATIVA/Ley-2099-2021.md,CORE_ya_Arriba_LEYES_INVERSIONES_INCENTIVOS_NORMATIVA_Ley-2099-2021.md
88,inversiones_incentivos,,normative_base,CORE ya Arriba/LEYES/INVERSIONES_INCENTIVOS/NORMATIVA/Ley-218-1995.md,CORE_ya_Arriba_LEYES_INVERSIONES_INCENTIVOS_NORMATIVA_Ley-218-1995.md
89,inversiones_incentivos,,practica_erp,CORE ya Arriba/LOGGRO_LEYES/II-1429-2010-LOGGRO.md,CORE_ya_Arriba_LOGGRO_LEYES_II-1429-2010-LOGGRO.md
90,inversiones_incentivos,,practica_erp,CORE ya Arriba/LOGGRO_LEYES/II-1715-2014-LOGGRO.md,CORE_ya_Arriba_LOGGRO_LEYES_II-1715-2014-LOGGRO.md
91,inversiones_incentivos,,practica_erp,CORE ya Arriba/LOGGRO_LEYES/II-2099-2021-LOGGRO.md,CORE_ya_Arriba_LOGGRO_LEYES_II-2099-2021-LOGGRO.md
92,inversiones_incentivos,,practica_erp,CORE ya Arriba/LOGGRO_LEYES/II-218-1995-LOGGRO.md,CORE_ya_Arriba_LOGGRO_LEYES_II-218-1995-LOGGRO.md
93,iva,,normative_base,CORE ya Arriba/NORMATIVA_LEYES/DT-1221-2008-NORMATIVA.md,CORE_ya_Arriba_NORMATIVA_LEYES_DT-1221-2008-NORMATIVA.md
94,iva,,normative_base,CORE ya Arriba/NORMATIVA_LEYES/II-1429-2010-NORMATIVA.md,CORE_ya_Arriba_NORMATIVA_LEYES_II-1429-2010-NORMATIVA.md
95,iva,,normative_base,CORE ya Arriba/NORMATIVA_LEYES/II-1715-2014-NORMATIVA.md,CORE_ya_Arriba_NORMATIVA_LEYES_II-1715-2014-NORMATIVA.md
96,iva,,normative_base,CORE ya Arriba/NORMATIVA_LEYES/II-2099-2021-NORMATIVA.md,CORE_ya_Arriba_NORMATIVA_LEYES_II-2099-2021-NORMATIVA.md
97,iva,,normative_base,CORE ya Arriba/NORMATIVA_LEYES/II-218-1995-NORMATIVA.md,CORE_ya_Arriba_NORMATIVA_LEYES_II-218-1995-NORMATIVA.md
98,iva,,normative_base,CORE ya Arriba/NORMATIVA_LEYES/NC-1530-2012-NORMATIVA.md,CORE_ya_Arriba_NORMATIVA_LEYES_NC-1530-2012-NORMATIVA.md
99,iva,,normative_base,CORE ya Arriba/NORMATIVA_LEYES/PF-1437-2011-NORMATIVA.md,CORE_ya_Arriba_NORMATIVA_LEYES_PF-1437-2011-NORMATIVA.md
100,iva,,normative_base,CORE ya Arriba/NORMATIVA_LEYES/PF-1438-2011-NORMATIVA.md,CORE_ya_Arriba_NORMATIVA_LEYES_PF-1438-2011-NORMATIVA.md
101,iva,,normative_base,CORE ya Arriba/NORMATIVA_LEYES/PF-1474-2011-NORMATIVA.md,CORE_ya_Arriba_NORMATIVA_LEYES_PF-1474-2011-NORMATIVA.md
102,iva,,normative_base,CORE ya Arriba/NORMATIVA_LEYES/PF-1564-2012-NORMATIVA.md,CORE_ya_Arriba_NORMATIVA_LEYES_PF-1564-2012-NORMATIVA.md
103,iva,,normative_base,CORE ya Arriba/NORMATIVA_LEYES/PH-225-1995-NORMATIVA.md,CORE_ya_Arriba_NORMATIVA_LEYES_PH-225-1995-NORMATIVA.md
104,iva,,normative_base,CORE ya Arriba/RENTA/NORMATIVA/Normativa/01_Libro1_T1_Sujetos_Pasivos.md,CORE_ya_Arriba_RENTA_NORMATIVA_Normativa_01_Libro1_T1_Sujetos_Pasivos.md
105,iva,,normative_base,CORE ya Arriba/RENTA/NORMATIVA/Normativa/12_Libro1_T4_Remesas.md,CORE_ya_Arriba_RENTA_NORMATIVA_Normativa_12_Libro1_T4_Remesas.md
106,iva,,normative_base,CORE ya Arriba/RENTA/NORMATIVA/Normativa/21_Libro7_ECE_CHC.md,CORE_ya_Arriba_RENTA_NORMATIVA_Normativa_21_Libro7_ECE_CHC.md
107,iva,,practica_erp,to upload/BRECHAS-SEMANA1-ABRIL-2026/FE_OPERATIVA/LOGGRO/FE-L07-habilitacion-contingencia-operativa.md,to_upload_BRECHAS-SEMANA1-ABRIL-2026_FE_OPERATIVA_LOGGRO_FE-L07-habilitacion-contingencia-operativa.md
108,laboral,,practica_erp,CORE ya Arriba/Documents to branch and improve/Reforma_Laboral_Ley_2466/Practica_LOGGRO/lab_practica_reforma_laboral.md,CORE_ya_Arriba_Documents_to_branch_and_improve_Reforma_Laboral_Ley_2466_Practica_LOGGRO_lab_practica_reforma_laboral.md
109,laboral,,normative_base,CORE ya Arriba/LEYES/LABORAL_SEGURIDAD_SOCIAL/consolidado/Ley-1010-2006.md,CORE_ya_Arriba_LEYES_LABORAL_SEGURIDAD_SOCIAL_consolidado_Ley-1010-2006.md
